NRO_RADICADO;FECHA_ACCIDENTE;HORA_ACCIDENTE;Día de la semana;AÑO;MES;CLASE_VEHICULO;TIPO_SERVICIO;TIPO_VICTIMA;EDAD;GENERO;GRAVEDAD;ESTADO_BEODEZ;ESTADO_DROGA;RESULTADO_BEODEZ;RESUL_BEODEZ_GRAMOS;DIRECCION_CARACT_VIA;TRAMO_VIA;LOCALIDAD_O_COMUNA;    GEORREFERENCIACIÓN;DESC_CLASE_ACCIDENTE;DESC_CHOQUE_ACCIDENTE;DESC_OBJETO_FIJO;DESC_SECTOR_ACCIDENTE;CONDICION_CLIMATICA;CAUSA_ACCIDENTE
2180026;6/01/2018;9:30:00 a. m.;Sábado;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;23;MASCULINO;HERIDOS;0;0;0;0;DIAGONAL 30 B TRANSVERSAL 32 D SUR 03;;LAS FLORES;6.1743457587044785, -75.57851197672746;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Impericia en el manejo
2180027;3/01/2018;8:50:00 a. m.;Miércoles;2018;Enero;MOTOCICLETA;PARTICULAR;Peaton;73;MASCULINO;HERIDOS;0;0;0;0;CARRERA 40 CALLE 35 SUR;;ZONA CENTRO;6.170951608977489, -75.58467349984832;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Cruzar sin observar  -  Poner en marcha un vehiculo sin precauci
2180028;3/01/2018;8:10:00 p. m.;Miércoles;2018;Enero;MOTOCICLETA;DIPLOMATICO;Motociclista;34;MASCULINO;HERIDOS;0;0;0;0;CARRERA 50 CALLE 25 AA SUR;;LAS VEGAS;6.185690, -75.586150;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;No mantener distancia de seguridad
2180029;4/01/2018;1:00:00 p. m.;Jueves;2018;Enero;AUTOMOVIL;PUBLICO;Pasajero;79;FEMENINO;HERIDOS;0;0;0;0;CALLE 45 B SUR CARRERA 42 B;;LA PAZ;6.164870131242592, -75.59478220547443;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Desobedecer señales
2180030;9/01/2018;3:15:00 p. m.;Martes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;35;MASCULINO;HERIDOS;0;0;0;0;CARRERA 50 CALLE 43 SUR ;;LAS VEGAS;6.171018, -75.600755;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Lluvia;Impericia en el manejo
2180031;5/01/2018;7:40:00 a. m.;Viernes;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;44;MASCULINO;HERIDOS;0;0;0;0;CARRERA 43 A TRANSVERSAL 27 A;;VILLA GRANDE;6.179330456345116, -75.58357263391602;CAIDA OCUPANTE;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Impericia en el manejo
2180031;5/01/2018;7:40:00 a. m.;Viernes;2018;Enero;MOTOCICLETA;PARTICULAR;Acompañante;40;FEMENINO;HERIDOS;0;0;0;0;CARRERA 43 A TRANSVERSAL 27 A;;VILLA GRANDE;6.179330456345116, -75.58357263391602;CAIDA OCUPANTE;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Normal;Impericia en el manejo
2180032;3/01/2018;7:20:00 p. m.;Miércoles;2018;Enero;MOTOCICLETA;PARTICULAR;Motociclista;27;MASCULINO;HERIDOS;0;0;0;0;CARRERA 48 CON CALLE 37 SUR;;LAS VEGAS;6.173473352424915, -75.59256588595376;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Adelantar cerrando  -  No respetar pelacion de interseccion o giros
2180032;3/01/2018;7:20:00 p. m.;Miércoles;2018;Enero;MOTOCICLETA;PARTICULAR;Acompañante;20;FEMENINO;HERIDOS;0;0;0;0;CARRERA 48 CON CALLE 37 SUR;;LAS VEGAS;6.173473352424915, -75.59256588595376;CHOQUE;VEHICULO;NO REPORTADO;RESIDENCIAL;Normal;Adelantar cerrando  -  No respetar pelacion de interseccion o giros
2180033;5/01/2018;1:30:00 p. m.;Viernes;2018;Enero;MOTOCICLETA;PARTICULAR;Peaton;70;FEMENINO;HERIDOS;0;0;0;0;CARRERA 41 CALLE 37 SUR 40;;ZONA CENTRO;6.169484095800993, -75.5864417489289;ATROPELLO;NO REPORTADO;NO REPORTADO;RESIDENCIAL;Lluvia;Cruzar sin observar
